QUEST_LV_0200_20150317_000001	フィリパス直属部隊員
QUEST_LV_0200_20150323_004180	俺の部下はどうしてみんなこうなんだ。{nl}とにかくご苦労だった。まったく、無能な奴だ！
QUEST_LV_0200_20150323_004181	我がまだ貴様の袋の中に入った石ころに見えるか？{nl}このホーバークが貴様らの思い通りになると思ったか！
QUEST_LV_0200_20150323_004182	貴様らは最初からグルだったのか…。{nl}我が愚かだった。{nl}だが完全体となった我に勝てると思っているのか！
QUEST_LV_0200_20150323_004183	サクニス平原の災い(1)
QUEST_LV_0200_20150323_004184	サクニス平原の災い(2)
QUEST_LV_0200_20150323_004185	ビルナ森のモンスターの目的(1)
QUEST_LV_0200_20150323_004186	ビルナ森のモンスターの目的(2)
QUEST_LV_0200_20150323_004187	ビルナ森のモンスターの目的(3)
QUEST_LV_0200_20150323_004188	ビルナ森の祭壇(1)
QUEST_LV_0200_20150323_004189	ビルナ森の祭壇(2)
QUEST_LV_0200_20150323_004190	北のビルナ森の祭壇のサイクロプス
QUEST_LV_0200_20150323_004191	ビルナ森での治療について
QUEST_LV_0200_20150323_004192	女神の力を付与しています/PRAY/2/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004193	ポスリンキスの森の脅威(1)
QUEST_LV_0200_20150323_004194	ポスリンキスの森の脅威(2)
QUEST_LV_0200_20150323_004195	どんな食べ物がいい？
QUEST_LV_0200_20150323_004196	特に欲しい物がある？
QUEST_LV_0200_20150323_004197	巻き込まれる前にこの場を離れた方が良さそうだ
QUEST_LV_0200_20150323_004198	ネックレス？オルゴール？
QUEST_LV_0200_20150323_004199	Notice/!/リリヤが息を引き取りました…。{nl}彼女の墓を作ってください#5
QUEST_LV_0200_20150323_004200	モンスターの肉でも良ければ手に入れて来る
QUEST_LV_0200_20150323_004201	早速オルゴールを見せる
QUEST_LV_0200_20150323_004202	手伝えることはないか
QUEST_LV_0200_20150323_004203	そろそろ休んだ方がいい
QUEST_LV_0200_20150323_004204	腐った肉の山を漁っています/SITGROPE/3/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0200_20150323_004205	待ってみる
QUEST_LV_0200_20150323_004206	力になりたい
QUEST_LV_0200_20150323_004207	関わりたくないので、立ち去る
QUEST_LV_0200_20150323_004208	試してあげる
QUEST_LV_0200_20150323_004209	もう行こう
QUEST_LV_0200_20150323_004210	食糧の山を漁っています/SITGROPE_LOOP/2.5/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0200_20150323_004211	Notice/!/食糧の山から生ゴミを見つけました！{nl}これををVキーでモンスターに投げてから退治してください！#5#5
QUEST_LV_0200_20150323_004212	大又の道の食糧の山(1)
QUEST_LV_0200_20150323_004213	漁っています/SITGROPE_LOOP/4/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004214	大又の道の食糧の山(2)
QUEST_LV_0200_20150323_004215	大又の道の食糧の山(3)
QUEST_LV_0200_20150323_004216	大又の道の食糧の山(4)
QUEST_LV_0200_20150323_004217	調べています/LOOK/2/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004218	Notice/ルーツクリスタルの破壊に成功しました！{nl}周辺にかけられていた呪いが消え去ります！#5
QUEST_LV_0200_20150323_004219	調べています/LOOK/2/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0200_20150323_004220	Notice/!/ルーツクリスタルがスタミナをすべて吸収し、周辺にコアを飛ばしてしまいました！{nl}まずは散らばったコアを探して破壊してください！#5
QUEST_LV_0200_20150323_004221	Notice/コアをすべて破壊すると、水晶も壊れてしまいました。{nl}(フェーアウトの代わりにデッドアニメを入れてください)#5
QUEST_LV_0200_20150323_004222	クリスタルに火をつけています/FIRE/2/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0200_20150323_004223	Notice/ルーツクリスタルが燃え落ちました！#5
QUEST_LV_0200_20150323_004224	怠惰の呪い - 呪い
QUEST_LV_0200_20150323_004225	変異したルーツクリスタルを調べています/LOOK/2/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004226	Notice/!/ルーツクリスタルが周辺を汚染しました！{nl}周辺の汚染源を踏まないように気を付けてください！#7
QUEST_LV_0200_20150323_004227	Notice/!/モンスターからルーツクリスタルのコアを奪い、破壊してください！#5
QUEST_LV_0200_20150323_004228	Notice/クリスタルのコアを破壊しました！{nl}汚染源が消え去ります。#5
QUEST_LV_0200_20150323_004229	Notice/!/ルーツクリスタルが割れてしまいました！本物を見つけて壊してください！#5
QUEST_LV_0200_20150323_004230	調べています/SITGROPE/2/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0200_20150323_004231	箱を開けています/KICKBOX/1/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004232	Notice/!/箱の中から邪悪な気が溢れ出て、モンスターに沁み込んでいきました。{nl}箱の周辺でモンスターを退治し、邪悪な気を箱に戻してください。#7
QUEST_LV_0200_20150323_004233	邪魔しないで大人しく見守ろう
QUEST_LV_0200_20150323_004234	忙しいから他へ行こう
QUEST_LV_0200_20150323_004235	ここで起きたことについて
QUEST_LV_0200_20150323_004236	Notice/!/束縛された霊魂たちが祭壇周辺に現れました！{nl}憤怒する霊魂たちを説得して安らかに眠れるよう力を貸してあげてください！#5
QUEST_LV_0200_20150323_004237	面倒くさいので拒否しよう
QUEST_LV_0200_20150323_004238	経典を探してあげる
QUEST_LV_0200_20150323_004239	できるだけのことはしたから他へ行く
QUEST_LV_0200_20150323_004240	無理そうだ
QUEST_LV_0200_20150323_004241	憤怒する霊魂たちについて
QUEST_LV_0200_20150323_004242	魔族の目的について
QUEST_LV_0200_20150323_004243	Notice/!/モンスターから経典のページを手に入れてください！#3
QUEST_LV_0200_20150323_004244	Notice/!/ファイアーロードがすでに霊魂を食べてしまいました。{nl}ファイアーロードを退治してください！#3
QUEST_LV_0200_20150323_004245	献金してみる
QUEST_LV_0200_20150323_004246	こんなことでシルバーを無駄遣いできない
QUEST_LV_0200_20150323_004247	周辺のモンスターを供物として捧げてみよう
QUEST_LV_0200_20150323_004248	Notice/!/祝福どころか、聖地が汚染されてしまいました。#5
QUEST_LV_0200_20150323_004249	Notice/!/聖地周辺にモンスター集まって来ます！#5
QUEST_LV_0200_20150323_004250	聖地を浄化する
QUEST_LV_0200_20150323_004251	危険そうだから浄化は諦める
QUEST_LV_0200_20150323_004252	聖水を撒いています/STANDSPINKLE/3/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004253	Notice/!/女神像は特に反応していません。{nl}製作者であるビエタ渓谷の彫刻家テスラを訪ねてください#3
QUEST_LV_0200_20150323_004254	赤葛の木単層の森の女神像について説明しています/TALK/3/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004255	女神像を補修しに行く
QUEST_LV_0200_20150323_004256	危険そうなので手を引こう
QUEST_LV_0200_20150323_004257	Notice/!/女神像の台座に大きな亀裂が入っています。{nl}まずは彫刻家テスラに言われた材料を集めましょう。#3
QUEST_LV_0200_20150323_004258	真の女神像(4)
QUEST_LV_0200_20150323_004259	Notice/!/修理した女神像が爆発して周辺に魔族の魔法陣が現れました！{nl}何が飛び出して来るか分からないので、魔法陣を壊してください！#7
QUEST_LV_0200_20150323_004260	聖地の件を説明しています/TALK/3/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004261	聖地を浄化する方法は？
QUEST_LV_0200_20150323_004262	危険なので立ち去った方が良さそうだ
QUEST_LV_0200_20150323_004263	印を取り出しています/MAKING/2/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004264	Notice/印を見つけました！印を使って隠れているモンスターを探してください！#5
QUEST_LV_0200_20150323_004265	徽章を燃やしています/MAKING/2/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004266	Notice/聖地が浄化されました。#3
QUEST_LV_0200_20150323_004267	清い水を汲んでくる
QUEST_LV_0200_20150323_004268	やめる
QUEST_LV_0200_20150323_004269	窒息する女神像
QUEST_LV_0200_20150323_004270	草花を手に入れて来よう
QUEST_LV_0200_20150323_004271	素通りする
QUEST_LV_0200_20150323_004272	聖地に献花しています/WORSHIP/3/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004273	Notice/!/聖地は特に反応していません！#3
QUEST_LV_0200_20150323_004274	浄化符を燃やしています/FIRE/2/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004275	Notice/聖地が浄化されました！#5
QUEST_LV_0200_20150323_004276	Notice/巡礼者を狙っていたアイアンバウムを倒しました！さあ、聖地で祝福を受けてください！#3
QUEST_LV_0200_20150323_004277	薬を飲む
QUEST_LV_0200_20150323_004278	怪しいので拒否する
QUEST_LV_0200_20150323_004279	材料を手に入れて来る
QUEST_LV_0200_20150323_004280	また今度
QUEST_LV_0200_20150323_004281	ここに来た理由について
QUEST_LV_0200_20150323_004282	Notice/!/発見された額縁には破れた絵の切れ端だけが残されていました。{nl}周辺のモンスターから残りの絵を取り戻してください。#5
QUEST_LV_0200_20150323_004283	棄てられた箱
QUEST_LV_0200_20150323_004284	調べています/LOOK_SIT/3/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004285	Notice/!/箱には鍵がかかっています。{nl}周辺のモンスターを狩って鍵を手に入れてください！#5
QUEST_LV_0200_20150323_004286	箱を開けています/LOOK_SIT/2/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004287	Notice/箱の中から古いハンカチを見つけました。#3
QUEST_LV_0200_20150323_004288	案内板を参考に泉を浄化する。
QUEST_LV_0200_20150323_004289	壺を手に入れています/SITGROPE/2/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004290	樹液を撒いています/STANDSPINKLE/2/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004291	Notice/静寂の泉が浄化され、信心の木が蘇り始めました！#5
QUEST_LV_0200_20150323_004292	ポスリンキスの森の破壊者
QUEST_LV_0200_20150323_004293	火をつけています/FIRE/3/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0200_20150323_004294	Notice/霊魂召喚の聖書完成！/5
QUEST_LV_0200_20150323_004295	慈悲の聖遺物を探して来る
QUEST_LV_0200_20150323_004296	隠された聖物
QUEST_LV_0200_20150323_004297	機械装置の秘密
QUEST_LV_0200_20150323_004298	秘密を解く
QUEST_LV_0200_20150323_004299	霊力の証を奪って来る
QUEST_LV_0200_20150323_004300	ベイニカ祭壇の鍵
QUEST_LV_0200_20150323_004301	霊力の証を充填する
QUEST_LV_0200_20150323_004302	魔族で魔力を満たすなんてありえない
QUEST_LV_0200_20150323_004303	神聖な魔力と魔族について
QUEST_LV_0200_20150323_004304	証をはめています/#SITGROPESET2/2/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004305	埃の積もった古書
QUEST_LV_0200_20150323_004306	後で手伝う
QUEST_LV_0200_20150323_004307	目を離した隙に
QUEST_LV_0200_20150323_004308	もっともっと
QUEST_LV_0200_20150323_004309	何を手伝えば良い？
QUEST_LV_0200_20150323_004310	もの凄い効能
QUEST_LV_0200_20150323_004311	試してみる
QUEST_LV_0200_20150323_004312	巡礼者のために(1)
QUEST_LV_0200_20150323_004313	ツキアザミを手に入れて来る
QUEST_LV_0200_20150323_004314	巡礼者のために(2)
QUEST_LV_0200_20150323_004315	肉を手に入れて来る
QUEST_LV_0200_20150323_004316	呪いの実体(2)
QUEST_LV_0200_20150323_004317	巡礼者のために(3)
QUEST_LV_0200_20150323_004318	薬を飲ませてみる
QUEST_LV_0200_20150323_004319	それくらいは自分でやれ
QUEST_LV_0200_20150323_004320	呪いの実体(1)
QUEST_LV_0200_20150323_004321	無視して素通りしよう
QUEST_LV_0200_20150323_004322	友達が女神のもとへ行けるように埋葬してあげようと言おう
QUEST_LV_0200_20150323_004323	慰めて立ち去ろう
QUEST_LV_0200_20150323_004324	一緒にやる
QUEST_LV_0200_20150323_004325	さようなら
QUEST_LV_0200_20150323_004326	何を探しているの？
QUEST_LV_0200_20150323_004327	何だか気にかかる
QUEST_LV_0200_20150323_004328	護符を完成させて来る
QUEST_LV_0200_20150323_004329	ガウレ祭壇へ行ってみる
QUEST_LV_0200_20150323_004330	最後の鍵
QUEST_LV_0200_20150323_004331	鍵を探しに行く
QUEST_LV_0200_20150323_004332	ファサラ祭壇へ
QUEST_LV_0200_20150323_004333	ファサラ祭壇へ行く
QUEST_LV_0200_20150323_004334	秘密の果てに
QUEST_LV_0200_20150323_004335	門を開けています//2/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004336	呪いの宝珠
QUEST_LV_0200_20150323_004337	見かけたら持って来る
QUEST_LV_0200_20150323_004338	偽装
QUEST_LV_0200_20150323_004339	調べてみる
QUEST_LV_0200_20150323_004340	最後の証明を試しに行く
QUEST_LV_0200_20150323_004341	しばらく準備の時間を持とう
QUEST_LV_0200_20150323_004342	友達を探してあげる
QUEST_LV_0200_20150323_004343	司祭の死体回収中/SITGROPE/3/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004344	埋め立て作業(1)
QUEST_LV_0200_20150323_004345	男爵領について
QUEST_LV_0200_20150323_004346	埋め立て作業(2)
QUEST_LV_0200_20150323_004347	タダスについて
QUEST_LV_0200_20150323_004348	埋め立て作業(3)
QUEST_LV_0200_20150323_004349	解いています/SITGROPE/2/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004350	しぶとい命(1)
QUEST_LV_0200_20150323_004351	面倒なので拒否する
QUEST_LV_0200_20150323_004352	ヤウヌスの正体
QUEST_LV_0200_20150323_004353	しぶとい命(2)
QUEST_LV_0200_20150323_004354	一体何があったのか尋ねてみる
QUEST_LV_0200_20150323_004355	もう気にしない
QUEST_LV_0200_20150323_004356	滋養強壮剤が必要(1)
QUEST_LV_0200_20150323_004357	ここですべきことについて
QUEST_LV_0200_20150323_004358	起こしています/KICKBOX/1/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004359	滋養強壮剤が必要(2)
QUEST_LV_0200_20150323_004360	滋養強壮剤が必要(3)
QUEST_LV_0200_20150323_004361	薬を飲め
QUEST_LV_0200_20150323_004362	あまり薦めたくない
QUEST_LV_0200_20150323_004363	まともなものが食べたい(1)
QUEST_LV_0200_20150323_004364	まともなものが食べたい(2)
QUEST_LV_0200_20150323_004365	種歩き
QUEST_LV_0200_20150323_004366	押し付け(1)
QUEST_LV_0200_20150323_004367	ミルギティ農場について
QUEST_LV_0200_20150323_004368	押し付け(2)
QUEST_LV_0200_20150323_004369	好奇心はここまで
QUEST_LV_0200_20150323_004370	後ろにある機械について
QUEST_LV_0200_20150323_004371	おかしな気の処理(1)
QUEST_LV_0200_20150323_004372	魔法陣を調べています/LOOK_SIT/2/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004373	Notice/!/魔法陣を調べようとした瞬間、突然四方に宝石が現れました！ 宝石を壊してください！#5
QUEST_LV_0200_20150323_004374	Notice/!/魔法陣を強化するには、まずモンスターの気を集めなければなりません#5
QUEST_LV_0200_20150323_004375	Notice/宝石が消え、魔法陣の強化に成功しました！#5
QUEST_LV_0200_20150323_004376	おかしな気の処理(2)
QUEST_LV_0200_20150323_004377	調べています/LOOK_SIT/2/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004378	Notice/!/見習い魔術師がくれた空き瓶にモンスターの邪悪な気を集めて魔法陣の両隣に埋めてください！#5
QUEST_LV_0200_20150323_004379	Notice/!/モンスターの邪悪な気を瓶に集めて魔法陣の両隣に埋めなければなりません！#5
QUEST_LV_0200_20150323_004380	Notice/魔法陣の強化に成功しました！#5
QUEST_LV_0200_20150323_004381	倉庫の前の邪魔モノ
QUEST_LV_0200_20150323_004382	動力機とその燃料について
QUEST_LV_0200_20150323_004383	倉庫を調べています/LOOK/2/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004384	エネルギー補充(1)
QUEST_LV_0200_20150323_004385	魔法陣を調べています/LOOK_SIT/2/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004386	Notice/!/見習い魔術師リマスのところへ行ってこの状況を報告してください#5
QUEST_LV_0200_20150323_004387	毒薬を撒いています/STANDSPINKLE/3/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004388	エネルギー補充(2)
QUEST_LV_0200_20150323_004389	命ある者
QUEST_LV_0200_20150323_004390	魔法陣を調べる/LOOK_SIT/3/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004391	Notice/!/魔法陣付近に生きているモンスターを連れて来てください！#5
QUEST_LV_0200_20150323_004392	エサは何
QUEST_LV_0200_20150323_004393	ベニュスのことについて
QUEST_LV_0200_20150323_004394	偶然の発見(1)
QUEST_LV_0200_20150323_004395	調べています/LOOK_SIT/1/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004396	Notice/!/確かに女神像の頭部です！掘り出してください！#5
QUEST_LV_0200_20150323_004397	女神像を掘り出しています/SITGROPE/2/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004398	偶然の発見(2)
QUEST_LV_0200_20150323_004399	酒樽を調べています/LOOK/2/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0200_20150323_004400	偶然の発見(3)
QUEST_LV_0200_20150323_004401	酒樽を調べています/LOOK/2/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004402	偶然の発見(4)
QUEST_LV_0200_20150323_004403	翼の形の何かを調べています/LOOK/3/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004404	尋常でない石像
QUEST_LV_0200_20150323_004405	ヨアナについて
QUEST_LV_0200_20150323_004406	実は祝福
QUEST_LV_0200_20150323_004407	今していることについて
QUEST_LV_0200_20150323_004408	肯定的な証拠(1)
QUEST_LV_0200_20150323_004409	水路橋地域について
QUEST_LV_0200_20150323_004410	肯定的な証拠(2)
QUEST_LV_0200_20150323_004411	女神像の欠片のようなものを知っている
QUEST_LV_0200_20150323_004412	ここの魔法陣について
QUEST_LV_0200_20150323_004413	意欲充填！
QUEST_LV_0200_20150323_004414	武器の受給(1)
QUEST_LV_0200_20150323_004415	ホラチウスについて
QUEST_LV_0200_20150323_004416	武器の受給(2)
QUEST_LV_0200_20150323_004417	しようとしていることについて
QUEST_LV_0200_20150323_004418	武器の受給(3)
QUEST_LV_0200_20150323_004419	男爵の本音について
QUEST_LV_0200_20150323_004420	武器の受給(4)
QUEST_LV_0200_20150323_004421	食糧の備蓄(1)
QUEST_LV_0200_20150323_004422	食糧の重要性について
QUEST_LV_0200_20150323_004423	食糧の備蓄(2)
QUEST_LV_0200_20150323_004424	男爵の所業について
QUEST_LV_0200_20150323_004425	食糧の備蓄(3)
QUEST_LV_0200_20150323_004426	一時しのぎ
QUEST_LV_0200_20150323_004427	気にならない
QUEST_LV_0200_20150323_004428	祝福の再建(1)
QUEST_LV_0200_20150323_004429	小作料が急騰した理由について
QUEST_LV_0200_20150323_004430	垣根を壊しています/STANDSHAKE/2/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004431	祝福の再建(2)
QUEST_LV_0200_20150323_004432	祝福の再建(3)
QUEST_LV_0200_20150323_004433	連判状
QUEST_LV_0200_20150323_004434	一つとは何？
QUEST_LV_0200_20150323_004435	自分の行くべき道を行く
QUEST_LV_0200_20150323_004436	計画について
QUEST_LV_0200_20150323_004437	破砕法(1)
QUEST_LV_0200_20150323_004438	破砕法(2)
QUEST_LV_0200_20150323_004439	大聖堂の浄化作業
QUEST_LV_0200_20150323_004440	魔族たちを退治する
QUEST_LV_0200_20150323_004441	ギティスの心配
QUEST_LV_0200_20150323_004442	暴れ狂うモンスター(1)
QUEST_LV_0200_20150323_004443	何をすべきですか
QUEST_LV_0200_20150323_004444	暴れ狂うモンスター(2)
QUEST_LV_0200_20150323_004445	開拓地を調べてみる
QUEST_LV_0200_20150323_004446	何だか危険そうなので断ろう
QUEST_LV_0200_20150323_004447	怪しい短剣(1)
QUEST_LV_0200_20150323_004448	怪しい短剣(2)
QUEST_LV_0200_20150323_004449	レンジャーマスターのところへ行ってみる
QUEST_LV_0200_20150323_004450	後で行く
QUEST_LV_0200_20150323_004451	解毒剤(2)
QUEST_LV_0200_20150323_004452	問題解決
QUEST_LV_0200_20150323_004453	事情を話す
QUEST_LV_0200_20150323_004454	軍の食糧を狙うモンスター(1)
QUEST_LV_0200_20150323_004455	軍の食糧を狙うモンスター(2)
QUEST_LV_0200_20150323_004456	エーロンを手伝う
QUEST_LV_0200_20150323_004457	別れのあいさつをする
QUEST_LV_0200_20150323_004458	農耕地確保
QUEST_LV_0200_20150323_004459	兵士たちを探しに行ってみる
QUEST_LV_0200_20150323_004460	大丈夫だと安心させる
QUEST_LV_0200_20150323_004461	ルイズの農地(1)
QUEST_LV_0200_20150323_004462	モンスターを代わりに退治してくる
QUEST_LV_0200_20150323_004463	ギティスの開拓地について
QUEST_LV_0200_20150323_004464	ルイズの農地(2)
QUEST_LV_0200_20150323_004465	ルイズの農耕地(3)
QUEST_LV_0200_20150323_004466	ルイズの農地(3)
QUEST_LV_0200_20150323_004467	少ない実り(1)
QUEST_LV_0200_20150323_004468	開拓地について
QUEST_LV_0200_20150323_004469	少ない実り(2)
QUEST_LV_0200_20150323_004470	手伝えることは無いですか
QUEST_LV_0200_20150323_004471	するべきことはしたので他へ行く
QUEST_LV_0200_20150323_004472	届かない場所(1)
QUEST_LV_0200_20150323_004473	話をもっと聞いてみる
QUEST_LV_0200_20150323_004474	届かない場所(2)
QUEST_LV_0200_20150323_004475	契約する
QUEST_LV_0200_20150323_004476	届かない場所(3)
QUEST_LV_0200_20150323_004477	復讐の牙(1)
QUEST_LV_0200_20150323_004478	阻止する
QUEST_LV_0200_20150323_004479	もっと準備する
QUEST_LV_0200_20150323_004480	復讐の牙(2)
QUEST_LV_0200_20150323_004481	問題ない
QUEST_LV_0200_20150323_004482	復讐の牙(3)
QUEST_LV_0200_20150323_004483	少し待ってほしい
QUEST_LV_0200_20150323_004484	祭壇操作中/MAKING/2/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004485	古い誇り
QUEST_LV_0200_20150323_004486	準備できました。
QUEST_LV_0200_20150323_004487	少し待ってください
QUEST_LV_0200_20150323_004488	Notice/魔族収監所第2区域へ移動して、クポル ノルガイラに会ってください！
QUEST_LV_0200_20150323_004489	裏切り者の処理(1)
QUEST_LV_0200_20150323_004490	準備する時間が必要だ
QUEST_LV_0200_20150323_004491	裏切り者の処理(2)
QUEST_LV_0200_20150323_004492	裏切り者の処理(3)
QUEST_LV_0200_20150323_004493	裏切り者の処理(4)
QUEST_LV_0200_20150323_004494	はまった石
QUEST_LV_0200_20150323_004495	準備完了です
QUEST_LV_0200_20150323_004496	まだ準備が必要だ
QUEST_LV_0200_20150323_004497	会話中/TALK/1.5/TRACK_BEFORE/None
QUEST_LV_0200_20150323_004498	黄昏の星
QUEST_LV_0200_20150323_004499	黄昏の星の鍵(1)
QUEST_LV_0200_20150323_004500	黄昏の星の鍵(2)
QUEST_LV_0200_20150323_004501	必ず守る
QUEST_LV_0200_20150323_004502	もっと準備しよう
QUEST_LV_0200_20150323_004503	黄昏の星の鍵(3)
QUEST_LV_0200_20150323_004504	封印を解除して来る
QUEST_LV_0200_20150323_004505	もっと準備が必要だ
QUEST_LV_0200_20150323_004506	夜に囚われた黄昏の星
QUEST_LV_0200_20150323_004507	計画と逃走
QUEST_LV_0200_20150323_004508	報告する
QUEST_LV_0200_20150323_004509	迷路の中のホーバーク(1)
QUEST_LV_0200_20150323_004510	ホーバークを追う
QUEST_LV_0200_20150323_004511	もっと準備する
QUEST_LV_0200_20150323_004512	迷路の中のホーバーク(2)
QUEST_LV_0200_20150323_004513	迷路の中のホーバーク(3)
QUEST_LV_0200_20150323_004514	時間が必要だ
QUEST_LV_0200_20150323_004515	迷路の中のホーバーク(4)
QUEST_LV_0200_20150323_004516	必ず倒す
QUEST_LV_0200_20150323_004517	少しだけ待ってほしい
QUEST_LV_0200_20150323_004518	迷路の中のホーバーク(5)
QUEST_LV_0200_20150323_004519	しっかり準備しよう
QUEST_LV_0200_20150323_004520	転移の隙間(1)
QUEST_LV_0200_20150323_004521	今到着しました。
QUEST_LV_0200_20150323_004522	まだすることが残っています
QUEST_LV_0200_20150323_004523	転移の隙間(2)
QUEST_LV_0200_20150323_004524	満たして来る
QUEST_LV_0200_20150323_004525	転移の隙間(3)
QUEST_LV_0200_20150323_004526	転移の隙間(4)
QUEST_LV_0200_20150323_004527	転移の隙間(5)
QUEST_LV_0200_20150323_004528	転移の隙間(6)
QUEST_LV_0200_20150323_004529	もうすぐ準備できる
QUEST_LV_0200_20150323_004530	門を閉じる
QUEST_LV_0200_20150323_004531	もっと急ぎの用がある
QUEST_LV_0200_20150323_004532	本分にしたがって
QUEST_LV_0200_20150323_004533	必ず取り戻す
QUEST_LV_0200_20150323_004534	無分別な退治
QUEST_LV_0200_20150323_004535	片付けて来る
QUEST_LV_0200_20150323_004536	今度にする
QUEST_LV_0200_20150323_004537	権威回復
QUEST_LV_0200_20150323_004538	行き場の無い怒り
QUEST_LV_0200_20150323_004539	主無き星
QUEST_LV_0200_20150323_004540	女神の目
QUEST_LV_0200_20150323_004541	後で処理する
QUEST_LV_0200_20150323_004542	隠れた裏切り者
QUEST_LV_0200_20150323_004543	交差路の魔族
QUEST_LV_0200_20150323_004544	袋小路
QUEST_LV_0200_20150323_004545	ディオニスのエサ
QUEST_LV_0200_20150323_004546	小さな隙間を塞げ
QUEST_LV_0200_20150323_004547	神秘の苗木
QUEST_LV_0200_20150323_004548	まだすることがあると断る
QUEST_LV_0200_20150323_004549	神秘的な少女について
QUEST_LV_0200_20150323_004550	謎の力
QUEST_LV_0200_20150323_004551	他に手伝うことは無いですか
QUEST_LV_0200_20150323_004552	手伝ったから、そろそろ他へ行く
QUEST_LV_0200_20150323_004553	試験浄化の結果
QUEST_LV_0200_20150323_004554	うまくいくはずだと激励する
QUEST_LV_0200_20150323_004555	用は済んだから他へ行く
QUEST_LV_0200_20150323_004556	大規模浄化の準備
QUEST_LV_0200_20150323_004557	集めて来る
QUEST_LV_0200_20150323_004558	そこまではできない
QUEST_LV_0200_20150323_004559	箱の配達
QUEST_LV_0200_20150323_004560	Notice/None/土の山を掘ってみたら小さな箱が出て来ました。#3
QUEST_LV_0200_20150323_004561	もうお終い
QUEST_LV_0200_20150323_004562	何があったのか尋ねて手伝う
QUEST_LV_0200_20150323_004563	無視して素通りしよう
QUEST_LV_0200_20150323_004564	グリーン家の荘園について
QUEST_LV_0200_20150323_004565	除草作業
QUEST_LV_0200_20150323_004566	タンポポの芽をむしってあげる
QUEST_LV_0200_20150323_004567	忙しいので立ち去る
QUEST_LV_0200_20150323_004568	信じられない人々
QUEST_LV_0200_20150323_004569	もの凄く怪しい
QUEST_LV_0200_20150323_004570	荷物を探してあげる
QUEST_LV_0200_20150323_004571	クラペダでの調査
QUEST_LV_0200_20150323_004572	他の人に手伝ってもらえ
QUEST_LV_0200_20150323_004573	良い兆候
QUEST_LV_0200_20150323_004574	監督官の横暴
QUEST_LV_0200_20150323_004575	してほしいことがあるなら聞いてあげる
QUEST_LV_0200_20150323_004576	利用される気は無い
QUEST_LV_0200_20150323_004577	シャトン家の農場について
QUEST_LV_0200_20150323_004578	家族が第一
QUEST_LV_0200_20150323_004579	こんなことに巻き込まれたくない
QUEST_LV_0200_20150323_004580	ドルイドの行方
QUEST_LV_0200_20150323_004581	危機に瀕した農民たち
QUEST_LV_0200_20150323_004582	とりあえず人々を助ける
QUEST_LV_0200_20150323_004583	農場の汚染について
QUEST_LV_0200_20150323_004584	古い種(1)
QUEST_LV_0200_20150323_004585	手伝えることはないようだ
QUEST_LV_0200_20150323_004586	種について
QUEST_LV_0200_20150323_004587	古い種(2)
QUEST_LV_0200_20150323_004588	水を汲んでくる
QUEST_LV_0200_20150323_004589	それくらいは大丈夫だろう
QUEST_LV_0200_20150323_004590	古い種(3)
QUEST_LV_0200_20150323_004591	丸め込む
QUEST_LV_0200_20150323_004592	農場に留まれるようにしてほしいと頼む
