QUEST_LV_0100_20150317_000001	警戒兵
QUEST_LV_0100_20151014_009870	信徒ギンタスに頼まれて信徒たちの遺体を弔いました。急いで信徒ギンタスのところに戻りましょう。
QUEST_LV_0100_20151014_009871	マルギリスと話す
QUEST_LV_0100_20151014_009872	信徒ギンタスから真理の証を貰いました。これを持ってマルギリスのところへ行くと、教団に入信できるはずです。
QUEST_LV_0100_20151014_009873	ギンタスから教団の一員として認められてからマルギリスを訪ねる
QUEST_LV_0100_20151014_009874	教団の指導者であるマルギリスに会いました。彼と話してください。
QUEST_LV_0100_20151014_009875	カーライルを尋問する
QUEST_LV_0100_20151014_009876	カーライルはなぜか教団と話すことを拒否しているそうです。
QUEST_LV_0100_20151014_009877	マルギリスはカーライルが口を開こうとしないので、信徒ではないふりをしてカーライルを尋問してほしいと言います。
QUEST_LV_0100_20151014_009878	カーライルの試験
QUEST_LV_0100_20151014_009879	カーライルの霊魂と話す
QUEST_LV_0100_20151014_009880	マルギリスは教団とは無関係のふりをしてカーライルの霊魂と話してほしいようです。カーライルの霊魂と話してください。
QUEST_LV_0100_20151014_009881	教団の聖物を破壊
QUEST_LV_0100_20151014_009882	カーライルはあなたが教団の関係者ではないと信じていないようです。カーライルは、もしも本当に教団の関係者でないなら、自分を苦しめる教団の聖物を破壊しろと言いました。
QUEST_LV_0100_20151014_009883	教団の聖物を破壊しました。カーライルと話してください。
QUEST_LV_0100_20151014_009884	カーライルに頼まれて教団の聖物を壊しました。 カーライルの霊魂と話してください。
QUEST_LV_0100_20151014_009885	本性を現したマルギリス退治
QUEST_LV_0100_20151014_009886	教団の聖物が破壊されたのを見たマルギリスが激怒し、本性を現しました。彼を退治してください。
QUEST_LV_0100_20151014_009887	本性を現したマルギリスを倒しました。もう一度現れたカーライルの霊魂と話してください。
QUEST_LV_0100_20151014_009888	本性を現したマルギリスを倒しました。教団の狙いを知るために、これまで集めた情報をカーライルに伝えてください。
QUEST_LV_0100_20151014_009889	隠された荘園所有者名簿を集める
QUEST_LV_0100_20151014_009890	カーライルの霊魂は、教団の目的は自分の隠した荘園所有者名簿だろうと言います。 カーライルから、セイマ石室に隠した荘園所有者名簿を取って来てほしいと頼まれました。
QUEST_LV_0100_20151014_009891	カーライルの霊魂に荘園所有者名簿を届ける
QUEST_LV_0100_20151014_009892	カーライルの霊廟に散らばっている荘園所有者名簿を全部集めました。カーライルに届けてください。
QUEST_LV_0100_20151014_009893	墓守シギスに頼まれたシャーマンドールを持ってきました。シギスと話してください。
QUEST_LV_0100_20151014_009894	邪悪な魔法の痕跡収集
QUEST_LV_0100_20151014_009895	墓守シギスはシャーマンドールに邪悪な魔法を認識させなければならないと言います。亡者を退治して邪悪な魔法の痕跡を集めてください。
QUEST_LV_0100_20151014_009896	シギスに頼まれた邪悪な魔法の痕跡を全部集めました。シギスと話してください。
QUEST_LV_0100_20151014_009897	蘇った亡者から%s収集
QUEST_LV_0100_20151014_009898	カーライルの霊廟に散らばっている文書を全部集めました。カーライルの霊魂と話してください。
QUEST_LV_0100_20151014_009899	荘園所有者名簿を燃やす
QUEST_LV_0100_20151014_009900	カーライルの霊魂は荘園所有者名簿を燃やしてほしいそうです。荘園所有者名簿を燃やすためには焚き火が必要です。薪で焚き火の用意をしてから荘園所有者名簿を燃やしてください。
QUEST_LV_0100_20151014_009901	ドルイドレヤと話す
QUEST_LV_0100_20151014_009902	森でここの住民らしき怪我人を見つけました。彼女と話して情報を集めてください。
QUEST_LV_0100_20151014_009903	ドルイドレヤに頼まれた薬草を集める
QUEST_LV_0100_20151014_009904	ドルイドレヤは食糧を盗んで逃げたフェレットたちを追っている途中で負傷したそうです。レヤが回復できるように、彼女が教えてくれた場所で薬草を集めてください。
QUEST_LV_0100_20151014_009905	ドルイドレヤに薬草を届ける
QUEST_LV_0100_20151014_009906	ドルイドレヤに頼まれた薬草を集めました。{nl}レヤのところに戻りましょう。
QUEST_LV_0100_20151014_009907	%sを集める
QUEST_LV_0100_20151014_009908	神秘的な少女との遭遇
QUEST_LV_0100_20151014_009909	神秘的な気に引き寄せられています。
QUEST_LV_0100_20151014_009910	魔族に追われる神秘的な少女と出会いました。
QUEST_LV_0100_20151014_009911	ドルイドレヤに頼まれた薬草を集めて戻る途中で、魔族に追われる神秘的な少女と出会いました。レヤに少女のことを話してみてください。
QUEST_LV_0100_20151014_009912	ドルイドレヤに頼まれた薬草を集めて戻る途中で、魔族に追われる神秘的な少女を目撃しました。レヤに少女のことを話してみてください。
QUEST_LV_0100_20151014_009913	フェレットに盗まれた食糧を取り戻す
QUEST_LV_0100_20151014_009914	村人たちのためにフェレットが盗んだ食糧を取り戻してください。フェレットの体力が50%以下の時にフェレット用麻痺の粉を使うと、フェレットに盗まれた食糧を取り戻すことができます。
QUEST_LV_0100_20151014_009915	フェレットから%sを取り戻す
QUEST_LV_0100_20151014_009916	村長と話す
QUEST_LV_0100_20151014_009917	フェレットから食糧を取り戻して来る途中で、また神秘的な少女と出くわしましたが、少女は村人の気配を感じて逃げてしまいました。取り戻した食糧を村長に届けてください。
QUEST_LV_0100_20151014_009918	魔族のトーテム 破壊
QUEST_LV_0100_20151014_009919	村長から村に伝わる伝説と神秘的な少女に関する情報をもらいましょう。村長と話してください。
QUEST_LV_0100_20151014_009920	フェレットを洗脳した魔族のトーテムを破壊する
QUEST_LV_0100_20151014_009921	村長はフェレットが凶暴化したのは、魔族が村を襲撃してからだと言います。村長から、魔族が設置した魔族のトーテムがフェレットたちを洗脳しているので魔族のトーテムを破壊してほしいと頼まれました。
QUEST_LV_0100_20151014_009922	魔族のトーテムを守る魔族を倒して魔族のトーテムを破壊しました。村長のところへ戻り、このことを知らせましょう。
QUEST_LV_0100_20151014_009923	村長は魔族のトーテムを壊したことについてお礼を言っています。村長に、これからどうすれば良いのか尋ねてみましょう。
QUEST_LV_0100_20151014_009924	神秘的な少女の痕跡を探す
QUEST_LV_0100_20151014_009925	村長はあなたが魔族のトーテムを壊しに行っている間に少女が村に現れたと言っています。少女は何も言わずに村を通り過ぎ、巨大女神像の方へ姿を消したそうです。村長はあなたが伝説の異邦人ならば、必ず少女の痕跡を見つけ出せるはずだと言います。
QUEST_LV_0100_20151014_009926	神秘的な少女は巨大女神像の方へ姿を消しました。神秘的な少女を追ってください。
QUEST_LV_0100_20151014_009927	村人と話す
QUEST_LV_0100_20151014_009928	村人に手伝えることは無いか尋ねてください。
QUEST_LV_0100_20151014_009929	フェレットから巨大な果物の果汁を集める
QUEST_LV_0100_20151014_009930	村人は果物も汚染された川の水で育ったせいで毒を持っていることから、飲み水への不安が大きいそうです。フェレットたちは巨大な果物から採取した果汁を飲み水にしているので、果物から毒性を除去する方法を知っているのかもしれません。住民から、フェレットが採取した果汁を飲み水として調達してほしいと頼まれました。
QUEST_LV_0100_20151014_009931	巨大な果物の果汁を村人に届ける
QUEST_LV_0100_20151014_009932	フェレットから巨大な果物の果汁を十分に手に入れました。村人に届けてください。
QUEST_LV_0100_20151014_009933	フェレットから%sを奪う
QUEST_LV_0100_20151014_009934	味付け
QUEST_LV_0100_20151014_009935	村人はあなたが巨大な果物の果汁を取りに行っている間に、フェレットの群れが村を襲って食糧を奪って行ったと言います。村人と話してください。
QUEST_LV_0100_20151014_009936	古い井戸から汚染された赤い水を汲む
QUEST_LV_0100_20151014_009937	村人はフェレットが盗んだ食糧を食べてお腹を壊せば、二度と食糧を盗まないはずだから、汚染された水で盗まれた食糧を汚染させたいと言っています。古い井戸から汚染された赤い水を汲んで届けてください。
QUEST_LV_0100_20151014_009938	汚染された水を村人に届ける
QUEST_LV_0100_20151014_009939	古い井戸から汚染された赤い水を汲みました。村人に汚染された水を届けてください。
QUEST_LV_0100_20151014_009940	古い井戸から%sを汲む
QUEST_LV_0100_20151014_009941	村人はこれくらい汚染された水があれば盗まれた食糧を汚染できるので、フェレットが盗んだ食糧の隠し場所を教えてくれるそうです。村人と話してください。
QUEST_LV_0100_20151014_009942	新鮮な食糧を赤い水で汚染させる
QUEST_LV_0100_20151014_009943	村人はフェレットが盗んだ食糧をあちこちにある果物カゴに隠していると教えてくれました。隠した食糧の中には古いものもあるので、よく探して最近盗まれた食糧に赤い水を撒いて汚染させてください。
QUEST_LV_0100_20151014_009944	村人のところに戻る
QUEST_LV_0100_20151014_009945	怪しいカゴの中から新鮮な食糧を探し、赤い水で汚染させました。村人のところに戻りましょう。
QUEST_LV_0100_20151014_009946	平和の彫像
QUEST_LV_0100_20151014_009947	村長の孫と話す
QUEST_LV_0100_20151014_009948	村長の孫は魔族のトーテムが壊れてフェレットたちが大人しくなったのかを確認して来たのであなたと話したいようです。村長の孫と話してください。
QUEST_LV_0100_20151014_009949	ティルトルビー ウィダスと話す
QUEST_LV_0100_20151014_009950	村長の孫は、魔族のトーテムが破壊された今もフェレットたちは攻撃的だったと言います。フェレットをもう一度大人しくさせる方法がないか、ティルトルビー ウィダスと話してみましょう。
QUEST_LV_0100_20151014_009951	ティルトルビー ウィダスはちょうど魔族のトーテムを見て反対の効果のある彫像を作れないか研究していたそうです。ウィダスと話してください。
QUEST_LV_0100_20151014_009952	平和の彫像設置
QUEST_LV_0100_20151014_009953	ティルトルビー ウィダスはこれまで研究した結果として平和の彫像を作ったそうです。フェレットの近くに平和の彫像を設置すれば、フェレットたちが大人しくなるはずだと言います。
QUEST_LV_0100_20151014_009954	平和の彫像を設置すると、フェレットたちがさらに凶暴化しました。ウィダスにこのことを知らせましょう。
QUEST_LV_0100_20151014_009955	導きの少女
QUEST_LV_0100_20151014_009956	神秘的な少女の痕跡を探す
QUEST_LV_0100_20151014_009957	神秘的な少女が消えた方向へ、少女を追って行きましょう。
QUEST_LV_0100_20151014_009958	神秘的な少女が消えた方向へ追って行くと、少女の痕跡がありました。痕跡を辿って行けば少女に会えるはずです。
QUEST_LV_0100_20151014_009959	少女を追っていたらドルイドレヤを見つけました。レヤに少女が消えた方向を尋ねましょう。
QUEST_LV_0100_20151014_009960	ドルイドレヤは巨大女神像の様子を身に来たものの、魔族に洗脳されたフェレットに足止めされていると言います。その途中で神秘的な少女が現れ、フェレットたちは少女を追って行ったそうです。
QUEST_LV_0100_20151014_009961	フェレットを倒して少女の痕跡を探す
QUEST_LV_0100_20151014_009962	ドルイドレヤは神秘的な少女が消えた方向を教えてくれました。フェレットが少女を追っているので、フェレットたちを退治しながら少女を探すといいと言います。
QUEST_LV_0100_20151014_009963	フェレット退治
QUEST_LV_0100_20151014_009964	消えた少女
QUEST_LV_0100_20151014_009965	神秘的な少女捜索
QUEST_LV_0100_20151014_009966	フェレットを退治していると、神秘的な気をまた感じました。神秘的な気を追って少女を探しましょう。
QUEST_LV_0100_20151014_009967	神秘的な少女が魔将にさらわれました。{nl}このことをレヤに伝えてください。
QUEST_LV_0100_20151014_009968	魔将が少女をさらって行きました。{nl}このことをレヤに伝えてください。
QUEST_LV_0100_20151014_009969	モーロー草採集
QUEST_LV_0100_20151014_009970	ドルイドレヤはフェレットたちが怪しい棒を持って消えたのを目撃したと言ってフェレットの本拠地を教えてくれました。レヤから、本拠地に入る前にフェレットたちを朦朧とさせるお香を作るので、 モーロー草を集めてほしいと頼まれました。
QUEST_LV_0100_20151014_009971	採集したモーロー草をドルイドレヤに届ける
QUEST_LV_0100_20151014_009972	ドルイドレヤに頼まれたモーロー草を集めました。{nl}レヤに届けてください。
QUEST_LV_0100_20151014_009973	%sを採集
QUEST_LV_0100_20151014_009974	ドルイドレヤは意識が朦朧となるお香のついでに、フェレットが少女を隠しそうな場所をいくつか教えてくれるそうです。レヤと話してください。
QUEST_LV_0100_20151014_009975	朦朧とするお香を焚いてフェレットの本拠地捜索
QUEST_LV_0100_20151014_009976	朦朧とするお香を焚いてフェレットの意識が朦朧としている間に少女を助けなければなりません。ただし、朦朧とするお香を焚くには焚き火が必要で、効果も短いので注意が必要です。
QUEST_LV_0100_20151014_009977	神秘的な少女救出
QUEST_LV_0100_20151014_009978	朦朧とするお香でフェレットたちが朦朧としている隙に少女を救出しなければなりません。
QUEST_LV_0100_20151014_009979	女神の計らい
QUEST_LV_0100_20151014_009980	神秘的な少女を解放すると、どこかへ急いで駆けて行きました。少女の痕跡を探して少女を追いましょう。
QUEST_LV_0100_20151014_009981	神秘的な少女と話す
QUEST_LV_0100_20151014_009982	巨大女神像の足元に立っている神秘的な少女を見つけました。神秘的な少女と話してください。
QUEST_LV_0100_20151014_009983	神秘的な少女は黙って神秘的な苗木を見つめています。少女と話してください。
QUEST_LV_0100_20151014_009984	神秘的な苗木の根元を掘る
QUEST_LV_0100_20151014_009985	神秘的な少女は途切れ途切れに神秘的な苗木の下に何かがあると言っています。苗木を調べてみましょう。
QUEST_LV_0100_20151014_009986	女神の宝珠を調べる
QUEST_LV_0100_20151014_009987	神秘的な苗木の根元から女神の宝珠を見つけました。宝珠を調べてみましょう。
QUEST_LV_0100_20151014_009988	ドルイドべネスと話す
QUEST_LV_0100_20151014_009989	ドルイドべネスは凶暴化したフェレット族を研究しているそうです。フェレットたちを落ち着かせる方法は無いか、彼とと話してみましょう。
QUEST_LV_0100_20151014_009990	フェレットの行動様式収集
QUEST_LV_0100_20151014_009991	ドルイドべネスはフェレットに変身すればフェレットと話せると言います。ただ、フェレットたちはべネスの臭いを覚えているので、変身しても近寄れないそうです。べネスから、変身の呪文書を作ってあげるので、フェレットに変身して行動様式を呪文書に書き込んでほしいと頼まれました。
QUEST_LV_0100_20151014_009992	ドルイドべネスに呪文書を渡す
QUEST_LV_0100_20151014_009993	フェレットを観察して呪文書にフェレットの行動様式を書き込みました。べネスに届けてください。
QUEST_LV_0100_20151014_009994	ドルイドべネスがくれた呪文書にフェレットの行動様式を書き込みました。べネスと話してください。
QUEST_LV_0100_20151014_009995	フェレットの本音を調べる
QUEST_LV_0100_20151014_009996	ドルイドべネスがくれたフェレット変身の呪文書を使えば、フェレットに変身できます。フェレットに変身してフェレットがなぜ魔族側に立って人間を攻撃するのか、調べてみましょう。
QUEST_LV_0100_20151014_009997	フェレットが人間を攻撃するのは、このチャンスに人間を追い出すためのようです。べネスにこのことを知らせてください。
QUEST_LV_0100_20151014_009998	信じられない現実
QUEST_LV_0100_20151014_009999	フェレットに変身してフェレットの本音を知りました。べネスにフェレットの本音を伝えてください。
QUEST_LV_0100_20151014_010000	変形した木の板を設置してフェレットの反応を見る
QUEST_LV_0100_20151014_010001	フェレットの本音を聞いたドルイドべネスはそれがフェレットの考えなのか、魔族の洗脳のせいなのか判断できないと言います。べネスは負傷した住民を偽装した木の板をフェレットの近くに設置してほしいと言われました。いくらフェレットが人間を追い出したがっているとしても、正気ならば負傷した住民まで攻撃しないはずだそうです。
QUEST_LV_0100_20151014_010002	フェレットは負傷した住民の形の木の板を攻撃しました。べネスにこのことを伝えてください。
QUEST_LV_0100_20151014_010003	信じられない現実
QUEST_LV_0100_20151014_010004	ドルイドべネスががくれた木の板を設置すると、フェレットたちが木の板を攻撃しました。このことをべネスに伝えてください。
QUEST_LV_0100_20151014_010005	臭いお香でフェレットを追い払う
QUEST_LV_0100_20151014_010006	ドルイドべネスは負傷した住民の形の木の板を攻撃したことから、魔族が洗脳したせいだと言っています。べネスから、今すぐにフェレットを元に戻す方法は無いので、村人たちが攻撃される前に臭いお香でフェレットを追い払ってほしいと頼まれました。臭いお香を焚くには焚き火が必要です。
QUEST_LV_0100_20151014_010007	ドルイドべネスのところに戻る
QUEST_LV_0100_20151014_010008	臭いお香を使ってフェレットを追い出しました。{nl}べネスのところに戻りましょう。
QUEST_LV_0100_20151014_010009	女神ラダを探す
QUEST_LV_0100_20151014_010010	女神ライマは魔族に捕らわれている女神ラダを探し、魔族の計画を阻止してほしいと言います。
QUEST_LV_0100_20151014_010011	女神ラダと話す
QUEST_LV_0100_20151014_010012	魔将ジャウラと戦闘を繰り広げていた途中で、女神ラダに近寄れなくする力が消えたようです。女神ラダと話してください。
QUEST_LV_0100_20151014_010013	魔将ジャウラと戦闘中に女神ラダに近寄れなくする力が消えたようです。女神ラダと話してください。
QUEST_LV_0100_20151014_010014	女神ラダを救出するための方法を探さなければなりません。女神ラダと話してみましょう。
QUEST_LV_0100_20151014_010015	拘束装置を破壊する
QUEST_LV_0100_20151014_010016	女神ラダを拘束している拘束装置を破壊しなければなりません。
QUEST_LV_0100_20151014_010017	女神の声: 拘束装置はかすかに残っていた私の力を抑制し、拘束しています。拘束装置は、今持っている宝珠の力でも十分破壊できるでしょう。
QUEST_LV_0100_20151014_010018	拘束装置を全部破壊しました。女神ラダと話してください。
QUEST_LV_0100_20151014_010019	生命力吸収装置は女神ラダの生命力を吸収してクルビナ制御装置へ送る装置です。魔族の血を集めて吸収装置に撒くと、女神の生命力が汚れて装置が停止します。
QUEST_LV_0100_20151014_010020	魔族の血を集める
QUEST_LV_0100_20151014_010021	女神の声: 生命力吸収装置は魔法陣で私の生命力を吸収しています。{nl}純粋な女神の生命力だけを吸収するように作られているので、他の生命力を吸収すれば停止するでしょう。{nl}特に、私の力と相反する汚れた魔族の血を手に入れれば、より強力な反発力が生じるはずです。
QUEST_LV_0100_20151014_010022	魔族の血を集めました。生命力吸収装置に撒いてください。
QUEST_LV_0100_20151014_010023	魔族を倒して%sを集める
QUEST_LV_0100_20151014_010024	クルビナ制御装置を破壊
QUEST_LV_0100_20151014_010025	クルビナ制御装置は女神ラダから得た生命力をクルビナへ少しずつ送り、クルビナを完成させる装置です。女神ライマが用意した女神の宝珠を使えば、クルビナ制御装置に魔力の過負荷を起こすことができるようです。
QUEST_LV_0100_20151014_010026	女神の声: クルビナ制御装置は女神の生命力をあ集めてクルビナへ少しずつ送り、クルビナの生成を制御する装置です。魔族の魔力で動いているので、女神の宝珠を使えば魔力の過負荷を起こすでしょう。
QUEST_LV_0100_20151014_010027	女神ラダが教えてくれた方法でクルビナを生成する装置を3台を破壊しました。女神ラダのところに戻りましょう。
QUEST_LV_0100_20151014_010028	女神ラダに言われた通り、クルビナ製造装置を全部 破壊しました。女神ラダと話してください。
QUEST_LV_0100_20151014_010029	不完全なクルビナ破壊
QUEST_LV_0100_20151014_010030	女神ラダはクルビナ製造装置を全部壊しましたが、すでに作られた不完全なクルビナがあると言います。その力が何に使われるか分からないので、絶対に破壊しなければなりません。
QUEST_LV_0100_20151014_010031	突然乱入した注視者のせいでクルビナを破壊することはできませんでしたが、魔将ジャウラは退治しました。女神ラダのところに戻りましょう。
QUEST_LV_0100_20151014_010032	魔将ジャウラ退治
QUEST_LV_0100_20151014_010033	突然現れた注視者の乱入で不完全なクルビナを奪われてしまいました。女神ラダにこのことを知らせてください。
QUEST_LV_0100_20151014_010034	女神の水晶玉を調べる
QUEST_LV_0100_20151014_010035	女神ラダはライマが旅に出る前に、誰かがライマの宝珠を持って自分を訪ねて来たら、巨大女神像へ導いてほしいと頼まれたそうです。微かながら自分の力が宿った女神の宝珠を持って、巨大女神像の指先へ行ってみるよう言われました。
QUEST_LV_0100_20151014_010036	巨大女神像の指先で魔神ギルティネが女神ライマを捕らえたということを知りました。ライマはあなたに救済者としての使命を与えました。女神ラダにこのことを知らせてください。
QUEST_LV_0100_20151014_010037	神殿修復の準備
QUEST_LV_0100_20151014_010038	村の司祭と話す
QUEST_LV_0100_20151014_010039	村の司祭はあなたに頼みがあるようです。村の司祭と話してください。
QUEST_LV_0100_20151014_010040	魔族退治
QUEST_LV_0100_20151014_010041	村の司祭は村人共にいつか戻るであろう女神ライマと女神ラダのために崩れた神殿を再建しようとしています。ですが、その前に残っている魔族を追い払い、邪悪な気で染まった大地を浄化しなければなりません。村の司祭から、魔族たちを追い払うのを手伝ってほしいと頼まれました。
QUEST_LV_0100_20151014_010042	残っている魔族を倒しました。{nl}村の司祭のところに戻りましょう。
QUEST_LV_0100_20151014_010043	残っている魔族
QUEST_LV_0100_20151014_010044	村の司祭に頼まれて、残っている魔族を退治しました。村の司祭と話してみましょう。
QUEST_LV_0100_20151014_010045	オルシャマスターのうち、浄化の方法を知っているマスターを探す
QUEST_LV_0100_20151014_010046	村の司祭は魔族の邪悪な気で染まった大地を浄化する方法を探しています。司祭はオルシャにいるマスターならば大地を浄化する方法について助言してくれるはずだと言います。
QUEST_LV_0100_20151014_010047	村の司祭と話す
QUEST_LV_0100_20151014_010048	オルシャで会った??マスターから浄化の呪文書をもらいました。村の司祭のところに戻りましょう。
QUEST_LV_0100_20151014_010049	オルシャマスターから%sをもらう
QUEST_LV_0100_20151014_010050	オルシャマスターから村の司祭が探していた大地浄化の呪文書をもらいました。村の司祭と話してみましょう。
QUEST_LV_0100_20151014_010051	邪悪な気を浄化する
QUEST_LV_0100_20151014_010052	あなたが浄化の呪文書をもらいにオルシャへ行っている間に、司祭はあちこちで魔族のトーテムを発見したそうです。司祭から、魔族のトーテムが汚染の根源らしいので、魔族のトーテムを破壊して大地を浄化してほしいと頼まれました。
QUEST_LV_0100_20151014_010053	村の司祭のところに戻る
QUEST_LV_0100_20151014_010054	村の司祭に頼まれた通り、魔族のトーテムを破壊して邪悪な気を浄化しました。村の司祭のところに戻りましょう。
QUEST_LV_0100_20151014_010055	村の神官があなたに頼みたいことがあるようです。神官と話してください。
QUEST_LV_0100_20151014_010056	大地の花を咲かせる
QUEST_LV_0100_20151014_010057	村の神官は神殿を再建する場所を探していて、生命の気に満ちた場所を見つけました。神官はそこに大地の花を咲かせてほしいようです。大地の花は育った土地の気を吸収する花で、その生命力は女神ラダの回復に役に立つでしょう。
QUEST_LV_0100_20151014_010058	女神ラダと話す
QUEST_LV_0100_20151014_010059	生命力をたっぷり宿した大地の花が咲きました。女神ラダと話してください。
QUEST_LV_0100_20151014_010060	石を手に入れました！
QUEST_LV_0100_20151014_010061	何も獲得できませんでした！
QUEST_LV_0100_20151028_010062	その光の玉ならば、私も見ましたよ。{nl}魔族があちこちで集めていましたから。{nl}
QUEST_LV_0100_20151028_010063	ここではフクロウの彫像たちがどこかへ送っているようでしたが…。{nl}先ほど見たフクロウの彫像のところへもう一度戻り、光の玉を追えば何か分かりかもしれません。
QUEST_LV_0100_20151028_010064	できれば止めたいところですが、止めても無駄なようですね。{nl}勇敢なのか無謀なのかは分かりませんが…。{nl}
QUEST_LV_0100_20151028_010065	私はここで少し休んで行きます。{nl}必死で逃げて来て疲れましたし、あなたといるとせっかく助かった命がまた危くなってしまいそうなので。
QUEST_LV_0100_20151028_010066	あの光の玉の正体は私にも分かりません。{nl}魔族と関係があるにしては、ちょっと妙な感じがしましたよ。
QUEST_LV_0100_20151028_010067	隊長フクロウ
QUEST_LV_0100_20151028_010068	ありがとうござます。本当にありがとうございます。{nl}私まで魔族の手に渡っていたら、哀れな霊魂たちがどうなっていたか…。
QUEST_LV_0100_20151028_010069	あなたが見た光の玉は人の霊魂です。{nl}とても純粋な霊魂なんですよ。{nl}この辺りに住んでいた人は皆魔族に殺されてしまって…。{nl}
QUEST_LV_0100_20151028_010070	私たちフクロウの彫像は霊魂を正しい道へ導くために存在しています。{nl}でも、魔族がやって来て森を汚染し、私たちを支配し始めたんです。{nl}支配された仲間たちは霊魂を魔族の言う通りに導いているんですよ。{nl}
QUEST_LV_0100_20151028_010071	お願いです。{nl}これ以上霊魂たちが犠牲にならないよう、仲間たちを支配している精神支配の塔を破壊してください。
QUEST_LV_0100_20151028_010072	あなたのような方が来てくれるなんて…。女神はまだ私たちを見捨てていなかったんですね。{nl}
QUEST_LV_0100_20151028_010073	精神支配の塔を今破壊すれば、支配されている仲間たちに衝撃が起きるかもしれません。{nl}塔を破壊する前に森の気を引き上げて仲間たちの力を取り戻させた方が良いと思います。{nl}
QUEST_LV_0100_20151028_010074	魔族が破壊して森のあちこちに散らばったカロリスの祭壇を復元すれば、森の気をある程度蘇らせることができるはず。{nl}あなたを導くフクロウの意志を差し上げます。{nl}これが破壊されたカロリス祭壇のある場所へあなたを導いてくれるでしょう。
QUEST_LV_0100_20151028_010075	カロリス祭壇は森の気を引き上げてくれます。{nl}あの祭壇が破壊されたせいで、森の気は目に見えて弱くなってしまいました。{nl}
QUEST_LV_0100_20151028_010076	森の聖地の力は今も健在ですが、その力を森全体に広めるためにはカロリスの光という物が必要です。{nl}その光が力を失ったせいで、聖地の力が拡散できなくなってしまいました。{nl}
QUEST_LV_0100_20151028_010077	カロリス祭壇と森の聖地をもとに戻せれば、間違いなく仲間たちが正気に戻るはずです。{nl}私たちフクロウの彫像は森と共に生きていますから。
QUEST_LV_0100_20151028_010078	待っていましたよ。{nl}森の気が少し強くなったのを感じて、成功したことを確信していたんです。
QUEST_LV_0100_20151028_010079	もしやと思って期待していましたが、カロリスの祭壇だけでは弱まった森の気を完全に戻すことはできませんでしたね。{nl}森の聖地の力も拡散しなければなりません。{nl}
QUEST_LV_0100_20151028_010080	森の聖地は向かい側にある池なんです。{nl}そこに行けばカロリスの光が聖地の力を森全体に拡散させているでしょう。{nl}消えかかっているその光をもう一度蘇らせれば、聖地の力が森全体に広がるはずです。
QUEST_LV_0100_20151028_010081	カロリスの光は全部で四個あります。{nl}一つ一つは光を灯しても次第に力を失ってしまいますが、四個全部に光を灯せば聖地の力を受けて、光を放ち続けることができます。{nl}光が力を失う前に、すべての光を灯してください。
QUEST_LV_0100_20151028_010082	以前は聖地もたくさんありましたが、今はそこしか残っていません。{nl}魔族のせいで私たちも森もメチャクチャになってしまいました。
QUEST_LV_0100_20151028_010083	聖地の気を拡散するのに成功したようですね。{nl}他のフクロウたちも正気に戻ったようです。{nl}あとは精神支配の塔さえ破壊すれば、ここは安全になるでしょう。
QUEST_LV_0100_20151028_010084	魔族が造った精神支配の塔には強い魔気が集まっています。{nl}不用意に手を出せば、あなたも危険な状態に陥るでしょう。{nl}{nl}仲間のフクロウの彫像たちも正気に戻ったので、まだ弱いですが力を集めてみますね。{nl}まだ完全ではありませんが、全部の力を一つにすれば、精神支配の塔に集まる魔気に対抗できるはずです。
QUEST_LV_0100_20151028_010085	ここへ来る途中にいたフクロウの彫像たちに会ってみてください。{nl}自分たちを救ってくれた人にお礼を言いたいそうですから。{nl}彼らに会えば、力を分けてもらえるはずです。
QUEST_LV_0100_20151028_010086	すべてのフクロウの彫像から力をもらったら、また私のところへ戻って来てください。{nl}私がその力を一つにまとめましょう。
QUEST_LV_0100_20151028_010087	私の仲間たちが失礼なことを言ったりしませんでしたか？{nl}みんな、心から感謝していると思います。{nl}
QUEST_LV_0100_20151028_010088	あとは私の力を足してすべてのフクロウの彫像たちの力を一つにしましょう。
QUEST_LV_0100_20151028_010089	心配だったんですが、全部の力を一つにしたら思ったよりも森の気を強く感じますね。{nl}さあ、この力で精神支配の塔を吹っ飛ばしてください。
QUEST_LV_0100_20151028_010090	こんなに力を貸してもらったのに、こんなことでしか返せなくてすみません…。{nl}でも、きっと女神があなたを導いてくださるはずです。{nl}何だか、そう思うんですよ。
QUEST_LV_0100_20151028_010091	実は、少し離れたところにもフクロウの彫像がいるんですけど…まだ反応がありませんね。{nl}何かあったんでしょうか…。{nl}でも、まずは目の前に迫っていることから片付けて行きましょうか。
QUEST_LV_0100_20151028_010092	精神支配の塔も破壊したんですか？{nl}ついにカロリスの泉の平和を取り戻せたんですね。
QUEST_LV_0100_20151028_010093	ちょうど、このマルダスという人があなたを訪ねて来たんですよ。{nl}彼が魔族の悪事を色々と見たようなので、しばらく話をしていたんです。
QUEST_LV_0100_20151028_010094	どうやら、レータス小川も魔族の手に落ちたようですね。{nl}もう少しだけあなたの力を貸していただけませんか？{nl}私たちにはあなただけが唯一の希望なんです。
QUEST_LV_0100_20151028_010095	私が知っている魔族に関する知識とマルダスさんが見たことを合わせて考えれば、解決策が見つかるかもしれません。{nl}私たちはここで魔族を阻止する方法を考えてみます。{nl}
